feature	condition	subgroup_1	subgroup_2	delta_1	delta_2	delta_pool	delta_strat	sign_flip	hetero_gap	discordance	instability_score	var_proxy
RvY_12151-1	des	fast	slow	-0.593012722036517	4.66629298984617	2.03664013390483	2.03664013390483	TRUE	5.25930571188268	0	5.25930571188268	6.64807273677409
RvY_08490-2	des	fast	slow	-5.85709252995592	-0.673716582049474	-3.26540455600269	-3.2654045560027	FALSE	5.18337594790644	8.88178419700125e-16	5.18337594790644	9.38401826809196
RvY_07290-1	des	fast	slow	-6.05480837406199	-1.44993089483994	-3.75236963445096	-3.75236963445096	FALSE	4.60487747922205	8.88178419700125e-16	4.60487747922205	14.1970784528322
RvY_16065-1	des	fast	slow	-4.69494255971686	-0.249966763195342	-2.4724546614561	-2.4724546614561	FALSE	4.44497579652152	0	4.44497579652152	5.62386219069485
RvY_14904	des	fast	slow	-4.92163906684539	-0.578192725294116	-2.74991589606976	-2.74991589606976	FALSE	4.34344634155128	0	4.34344634155128	6.00303697554122
RvY_10349-1	des	fast	slow	-4.66138641433568	-0.458164508469963	-2.55977546140282	-2.55977546140282	FALSE	4.20322190586571	0	4.20322190586571	6.62716527720036
RvY_01125-1	des	fast	slow	-4.8638418932205	-0.672079320863402	-2.76796060704195	-2.76796060704195	FALSE	4.1917625723571	8.88178419700125e-16	4.1917625723571	6.69986905115624
RvY_16229-1	des	fast	slow	-4.90460641134043	-0.718262411663737	-2.81143441150208	-2.81143441150208	FALSE	4.18634399967669	8.88178419700125e-16	4.18634399967669	7.91424735375346
RvY_14903-1	des	fast	slow	-4.85980042065249	-0.68086749121338	-2.77033395593294	-2.77033395593294	FALSE	4.17893292943911	8.88178419700125e-16	4.17893292943911	6.13165258129032
RvY_00890-0	des	fast	slow	-4.36367829779687	-0.213664568460858	-2.28867143312887	-2.28867143312887	FALSE	4.15001372933601	0	4.15001372933601	5.91220376822637
RvY_14354-1	des	fast	slow	-2.48621658807029	1.63246948880561	-0.426873549632343	-0.426873549632342	TRUE	4.1186860768759	8.88178419700125e-16	4.1186860768759	3.66410310859942
RvY_11674-2	des	fast	slow	-5.18732509741377	-1.12733294451987	-3.15732902096682	-3.15732902096682	FALSE	4.0599921528939	0	4.0599921528939	7.25301846516725
RvY_07157-1	des	fast	slow	-4.87972361568195	-0.830285883690381	-2.85500474968617	-2.85500474968617	FALSE	4.04943773199157	8.88178419700125e-16	4.04943773199157	6.92583234736103
RvY_17960-1	des	fast	slow	-4.75740661574755	-0.76555891776369	-2.76148276675562	-2.76148276675562	FALSE	3.99184769798386	8.88178419700125e-16	3.99184769798386	5.28060904422487
RvY_11821-1	des	fast	slow	-4.70504948834266	-0.775423538680679	-2.74023651351167	-2.74023651351167	FALSE	3.92962594966198	0	3.92962594966198	5.01222627341278
RvY_00749-1	des	fast	slow	-4.65158379622142	-0.730137019424026	-2.69086040782272	-2.69086040782272	FALSE	3.92144677679739	8.88178419700125e-16	3.9214467767974	5.83864184379195
RvY_04760	des	fast	slow	-2.4034797835926	1.48476796839313	-0.459355907599733	-0.459355907599733	TRUE	3.88824775198573	0	3.88824775198573	4.41783308627636
RvY_02792	des	fast	slow	-4.27326554742805	-0.464369489182303	-2.36881751830517	-2.36881751830517	FALSE	3.80889605824574	0	3.80889605824574	3.78453061605737
RvY_16832-1	des	fast	slow	-4.53039866337595	-0.733591867838932	-2.63199526560744	-2.63199526560744	FALSE	3.79680679553702	8.88178419700125e-16	3.79680679553702	7.22997431812634
RvY_12886-1	des	fast	slow	-4.06975679751533	-0.303095640723948	-2.18642621911964	-2.18642621911964	FALSE	3.76666115679138	4.44089209850063e-16	3.76666115679138	3.3369532836491
RvY_13377-1	des	fast	slow	-4.54949452704605	-0.806551700147834	-2.67802311359694	-2.67802311359694	FALSE	3.74294282689821	8.88178419700125e-16	3.74294282689821	4.88908369525995
RvY_16129-2	des	fast	slow	-5.3823076279095	-1.65152781959495	-3.51691772375223	-3.51691772375223	FALSE	3.73077980831454	0	3.73077980831454	10.126123089202
RvY_02823-1	des	fast	slow	-4.38223079698752	-0.707764666776797	-2.54499773188216	-2.54499773188216	FALSE	3.67446613021072	0	3.67446613021072	4.52194086721559
RvY_07090-1	des	fast	slow	4.63298148562906	0.975813761063449	2.80439762334626	2.80439762334626	FALSE	3.65716772456561	1.77635683940025e-15	3.65716772456562	16.4853847225224
RvY_01465-1	des	fast	slow	-4.63537810091172	-0.998898276391934	-2.81713818865182	-2.81713818865183	FALSE	3.63647982451978	8.88178419700125e-16	3.63647982451978	5.46337323768324
